id,itemLabel,partyLabel,areaLabel,gender
301,MBOMBO MUTSHIMPAYI Elisabeth,AFDC-A,KAZUMBA,female
302,MBOSO N’ KODIA PWANGA Christophe,ABCE,KENGE,male
303,MBOYO PAPY BIKANZA Jean-Marie,ABCE,BIKORO,male
304,MBUKU BALELE Pepe,AFDC-A,MBANZA-NGUNGU,male
305,MBUKU LAKA Boris,G7,IDIOFA,male
306,MBUMBA MAVUNGU Pétronelle,ACO,MONT AMBA,female
307,MBUYU KABANGO MUKOLWE Célestin,PPPD,KABONGO,male
308,MEMBA EBENGA NANOU,ADRP,KIPUSHI,male
309,MENDE OMALANGA Lambert,ALLIANCE,LODJA,male
310,MIDI GIAMANY ZOZEY Ambroise,UDPS/Tshisekedi,MOANDA,male
311,MILOLO DIBONDO ZOBEL,AFDC-A,TSHIKAPA,male
312,MINAKU NDJALANDJOKO Aubin,PPRD,IDIOFA,male
313,MIRUHO AKILI Prosper,UNC,IDJWI,male
314,MISARE MUGOMBERWA Claude,UNC,UVIRA,male
315,MOKOLO NDJOLI Tania,G7,MAKANZA,female
316,MOMBUNZA LIBOTOLO Annie,MLC,BUDJALA,female
317,MONDOLE ESO LIBANZA Léon,ACC,LISALA,male
318,MOPONDI MALOKA MUGAI John,PPPD,KUNGU,male
319,MOTA NGALIEMA Léonard,PPPD,TSHANGU,male
320,MOTEMONA GIBOLUM Godard,PPRD,MONT AMBA,male
321,MOUSSA KALEMA SANGOLO ZAKU,AAAC,MASI-MANIMBA,male
322,MOVA SAKANYI Henri,PPPD,LUKUNGA,male
323,MPANGA WA LUKALABA Jean-Jacques,ACO,MITWABA,male
324,MPIA LOTETE Messie,PPRD,KIRI,male
325,MPIA MENAZAMBILI Claude,UNC,MONT AMBA,male
326,MPIANA NTUMBA Simon,UNC,KANANGA VILLE,male
327,MPONGO NKITA ILANGA NZALI Jean-Claude,PPRD,INONGO,male
328,MPOSHI KIBAMBE Dieudonné,PPPD,LUBAO,male
329,MPUNGA MUSHA MUSHA Charles Guillaume,UDPS/Tshisekedi,MWENE-DITU VILLE,male
330,MPUTU YALIKO KELPER,CPR,INONGO,male
331,MSAFIRI KYAKAKALA BENEZETH,AABC,LUBERO,male
332,MUABILU MUALUKIE Winnie,AA/a,MONT AMBA,female
333,MUAKASA HEVA Evariste,APCO,BOMA VILLE,male
334,MUANZA MUNYA Papy Bon Soleil,UDPS/Tshisekedi,TSHIKAPA VILLE,male
335,MUBA KITWA Damase,PPRD,BIUKAMA,male
336,MUBAMBE WA LUMBULWA Khiler,AMK,LIKASI VILLE,male
337,MUBER THONIOT Serge,PCD,MAHAGI,male
338,MUBIKAYI MUBALAMATE Léon,UDPS/Tshisekedi,LUEBO,male
339,MUBONZI MURHOMULUME Bertin,UNC,LUKUNGA,male
340,MUDEKEREZA NAMEGABE Olive,AFDC-A,WALUNGU,male
341,MUFALME TAMBWE SOKORO,ADRP,KONGOLO,male
342,MUFULA JIVE JOSUE,AAB,GOMA VILLE,male
343,MUGIRANEZA NDIZEYE Jules,AABC,MASISI,male
344,MUHINDO KASEKWA Jean-Baptiste,DO,GOMA VILLE,male
345,MUHINDO MULEMBERI VAHUMAWA Paul,AR,BENI,male
346,MUHINDO NZANGI BUTONDO,MS,BUTEMBO VILLE,male
347,MUHIYA LUMBU Eustache,,KALEMIE VILLE,male
348,MUINGA TULELA Nelly,ACO,SONGOLOLO,female
349,MUKASA KALEMBWE Calixte,AMK,KIPUSHI,male
350,MUKEBA M’FOUTA Albert – David,ADRP,MIABI,male
351,MUKENA YUMBA Patient,PPRD,MALEMBA NKULU,male
352,MUKENDI FONTSHI KANYINDA Serge,ADRP,TSHILENGE,male
353,KASANDA KADIESA Serkas,UDPS/Tshisekedi,MBUJI-MAYI VILLE,male
354,MUKONGA KASAMBA Arsène,ABCE,LUBUDI,male
355,MUKUNDI NYEMBO KAHUMBA Emmanuel,CODE,NYUNZU,male
356,MULAMBA MPUTU Simon,AR,TSHIKAPA,male
357,MULIMBALIMBA MASURURU Luc,AFDC-A,UVIRA,male
358,MULONGO NZEMBA COCO Jacques,UDPS/Tshisekedi,LUBUMBASHI VILLE,male
359,MULUMBA KANZA Augustin,UDPS/Tshisekedi,NGANDAJIKA,male
360,MUNDIA NEKE Pétillon,MS,KUTU,male
361,MUNGA MESOZI Louise,PPRD,FIZI,female
362,MUNGANGA GADIMBA GEMBI Cléophas,MS,BULUNGU,male
363,MUNKIE MBALI IBA Didier,MLC,TSHANGU,male
364,MUNONGO INAMIZI Dominique,AMK,LUBUDI,female
365,MUNUBO MUBI Juvénal,UNC,WALIKALE,male
366,MUNYOMO BASILWANGO Patrick,AFDC-A,GOMA VILLE,male
367,MUPASA LUKOBO Dhedhe,ADRP,IDIOFA,male
368,MUPEKA KINDUNDU Jocelyne,ACC,BULUNGU,female
369,MUSAMBYA KABWE Freddy,UDPS/Tshisekedi,FIZI,male
370,MUSAO KALOMBO MBUYU Célestin,AA/a,KABONGO,male
371,MUSEMENA BONGALA Gaston,PPRD,UBUNDU,male
372,MUSENGI KAPISILA Cathy,ADRP,KIKWIT VILLE,female
373,MUSHOBEKWA LIKULIA Marie-Ange,G18,KABARE,female
374,MUSOMO WAPEMBE Guy,ADRP,KWAMOUTH,male
375,MUSUKULU BARANDE Emmanuel,PALU&Alliés,BULUNGU,male
376,MUTEULE MOROMORO MUTUEL,AABC,NYIRAGONGO,male
377,MUTIRI WA BASHARA Elvis,PALU & Alliés,GOMA VILLE,male
378,MUTOKAMBALI LUVANZAYI Jean-Luc,AAB,RUTSHURU,male
379,MUTOMBO KASONGO Germain,AMK,NGANDAJIKA,male
380,MUTONKOLE KINYANGA Gaspard,AAB,BUKAMA,male
381,MUYAYA KATEMBWE Patrick,PALU&Alliés,FUNA,male
382,MUZAZA OWAN NGAMPIO Thierry,PALU&Alliés,IDIOFA,male
383,MUZITO FUMUTSHI Adolphe,UREP,KIKWIT VILLE,male
