item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q96475172,AWENZE MAKIABA Alphonse,,,,,2012-02-16,2019-01-28,female,Q96475172-6B163C87-373E-4FD8-A1D3-3946D5CC0FAB
Q112262781,AYOBANGIRA SAMVURA Franois,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262781-C53AAC87-B00E-44A2-9844-4C9D9B6142B0
Q96475177,AYOMO ALIFE Jeanne,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,female,Q96475177-82AF25E8-ED89-4820-ABD8-DFFBEA63B585
Q106505759,Aminata Namasia,,,Q2881771,Bambesa,2019-01,,female,Q106505759-796b285c-457a-ff5e-1d17-9403323180e3
Q112262782,BABABASWE WISHIYA Zacharie,,,,,2012-02-16,2019-01-28,male,Q112262782-89D97A71-D853-46CD-9F5F-26F7F84A5BDA
Q112262783,BABALA WANDU Fidle,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112262783-A7A56AB2-BAF8-42A9-8C00-48C44A16D1CE
Q17639110,BADIBANGA NTITA Samy .,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q17639110-03E5824B-BEC1-4920-9C58-8CEAFF7D000D
Q112262784,BADIBANGI ANUWEBE Christian,,,,,2012-02-16,2019-01-28,male,Q112262784-E4B80C75-0452-4FC7-8534-58613720176D
Q112262785,BAKATSURAKI KAVUSA SEMEYI,,,,,2012-02-16,2019-01-28,male,Q112262785-2260FD34-FD7D-485F-B9C1-D033F3CCA273
Q97464651,BAKONGA VVILIMA Willy,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q97464651-46F1828E-468F-4921-B255-5DA6C43EAEE2
Q112262787,BALAMAGE N'KOLO Boniface,,,,,2012-02-16,2019-01-28,male,Q112262787-D0A0E6C1-C3B8-4A4F-B364-B84641AA0210
Q112262788,BALIESIMA KADUKIMA Albert,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262788-21DC440D-6383-420B-A20A-B6CFE89A6C96
Q112262789,BALIKWISHA MULONDI Juma,,,,,2012-02-16,2019-01-28,male,Q112262789-F2E22092-9E5B-46E4-8039-40F8C51C5E81
Q112262790,BAMBOKA LOBENDI Pierre Castro,,,,,2012-02-16,2019-01-28,male,Q112262790-12DDD797-7043-46D9-AEBD-C53BFF6BFD30
Q20740600,BAMPORIKI MANEGABE Jean Marie,,,,,2012-02-16,2019-01-28,male,Q20740600-EB4F1CDF-C744-4C83-B459-36B13009265E
Q112262791,BANDEACHE ITENDEY Willy,,,,,2012-02-16,2019-01-28,male,Q112262791-45A8EBAB-9388-4825-A8FE-63C4A1634EA8
Q112262792,BANIO DEBHO Daniel,,,,,2012-02-16,2019-01-28,male,Q112262792-D3041754-154C-4ED5-B766-21E28CCD9BAE
Q112262793,BANZA MALOBA Dany,,,,,2012-02-16,2019-01-28,male,Q112262793-2EA3B41A-C717-47EC-88A1-EDE63BACC286
Q108329864,BANZA MULUME Marmont,,,,,2012-02-16,2019-01-28,male,Q108329864-44CEDFDF-6CD3-418F-BDD2-662E0EFAFA02
Q112262794,BASANGO MAKEDJO Lon-Dhon,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262794-A6F1B74D-134F-46C1-B833-DEE247EE57C1
Q3343479,BASENGEZI KATINTIMA Norbert,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q3343479-2AAA374F-BF33-4F89-93B4-4E31DA496E9B
Q112262795,BASIALA MAKA Marie-Threse,,,,,2012-02-16,2019-01-28,female,Q112262795-B4CB6321-EB9C-4C68-AE23-BD23B55A1BDA
Q112262796,BASILWANGO MWILO LUSOLO Flicien,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262796-E2BFCAC3-D684-4DD3-8C71-C833DEB8BFB5
Q112262797,BATUMOKO AFOZUNDE Jean-Pierre,,,,,2012-02-16,2019-01-28,male,Q112262797-A208C3E0-A8FA-4791-8BBD-17012BCCC4DC
Q112262798,BATUMONA KANDIKAN Laurent,,,,,2012-02-16,2019-01-28,male,Q112262798-DC493FD3-8E21-413A-A534-29CCB5A2CAAE
Q3577297,BAZAIBA MASUDI Eve,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,female,Q3577297-853F7CD1-F4BE-403E-BE77-1554EA4C66F4
Q112262799,BAZIR SERUSHAGO Bonaventure,,,,,2012-02-16,2019-01-28,male,Q112262799-F8AEC751-D455-440E-B524-78969BD6E54A
Q112262800,BEMBA NDOKWA Franoise,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,female,Q112262800-F65D66CF-3CBD-403F-B92B-2FD3397A00F6
Q19629893,BEMBA WALE Caroline,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,female,Q19629893-98E5685F-04CB-481C-AB94-7180621AAA7B
